Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,Národ Sobě
586145,Domanín,804,488,488,33,0,1,35,1,17,51,0,3,4,0,0,33,0,15,142,0,0,91,0,1,0,0,59,2,0
586153,Dražůvky,229,133,131,8,0,1,18,0,11,8,3,1,4,0,0,12,0,3,31,0,0,9,0,0,0,0,22,0,0
586161,Dubňany,5 251,2 994,2 966,241,16,4,269,1,46,413,36,22,46,7,7,239,1,45,897,2,9,197,2,15,8,4,426,10,3
586021,Hodonín,20 697,11 107,11 022,1 017,105,10,984,3,255,1 104,141,50,275,7,30,843,9,298,3 458,8,36,645,3,78,18,30,1 587,21,7
586170,Hovorany,1 798,1 212,1 207,119,1,1,80,0,35,119,7,14,13,0,0,130,1,36,314,0,0,180,0,7,3,1,144,2,0
586188,Hroznová Lhota,1 003,625,620,42,2,1,62,1,17,44,3,5,4,0,0,37,0,10,171,0,1,141,0,6,3,0,68,2,0
586196,Hrubá Vrbka,495,267,266,4,0,0,17,0,26,36,3,4,2,1,0,17,0,4,60,0,0,65,0,0,0,0,27,0,0
586200,Hýsly,325,181,180,22,0,0,15,0,12,12,1,3,6,0,1,17,0,4,50,0,0,9,0,0,0,0,25,3,0
586218,Javorník,584,338,337,15,0,0,32,0,40,54,4,5,8,1,0,16,0,9,92,0,1,18,0,3,0,1,38,0,0
586226,Ježov,595,345,342,20,0,1,29,0,7,22,6,3,13,0,1,24,0,9,132,1,1,20,0,0,1,0,48,3,1
586234,Josefov,349,253,252,24,0,0,12,0,8,9,6,2,3,0,0,25,0,10,55,0,2,61,0,0,0,0,35,0,0
586242,Karlín,182,120,119,7,0,0,12,1,7,17,0,1,2,0,0,10,0,2,22,0,0,13,0,0,0,0,24,0,1
586251,Kelčany,202,124,123,17,0,0,10,0,3,14,1,1,3,0,0,11,0,1,37,0,0,5,0,0,1,0,19,0,0
586269,Kněždub,924,501,497,21,0,0,32,0,21,22,2,7,1,0,1,24,0,4,209,1,0,91,0,3,0,3,54,1,0
586277,Kostelec,722,502,499,78,0,0,48,1,16,34,2,5,10,0,0,44,0,9,139,0,0,49,0,3,1,0,56,3,1
